Name;CJ1;CJ2;CJ3;CS1;CS2;CS3;GM1;GM2;GM3;GP1;GP2;GP3
Group;CJ;CJ;CJ;CS;CS;CS;GM;GM;GM;GP;GP;GP
318.609616;0.001745275;0.002020262;0.001442868;0.001655353;0.001527526;0.001408896;0.000356604;0.000194568;7.84E-06;8.26E-06;4.97E-05;3.91E-05
318.9325634;0.010353951;0.010659072;0.010674502;0.009637771;0.009032012;0.010239336;0.000211914;0.000115609;8.80E-05;0.000412645;0.000525004;0.000509403
319.2026791;0.005400562;0.003398623;0.006107286;0.006623313;0.005513184;0.006889453;8.13E-05;4.52E-05;0.000168956;0.000750879;0.000922534;0.000902806
319.9536632;0.001704996;0.001756855;0.001142752;0.003854498;0.003885463;0.001203634;0;0;0.000116858;0.000464951;0.000539711;0.000545793
320.2370157;0.00028824;0.000781645;0.000740607;0.002283266;0.002540377;0.000681697;0;0;6.97E-05;0.000269559;0.000311046;0.000322502
320.432313;0.000924075;0.00131339;0.000922868;0.00170407;0.001780223;0.000904669;0;0;3.73E-05;0.000134888;0.000153441;0.000168601
320.6154065;0.001343031;0.001046052;0.001011101;0.001372331;0.001381792;0.000983221;0;0;6.82E-06;8.63E-06;5.68E-06;2.43E-05
320.9275799;0.009279573;0.009018789;0.009387423;0.009265965;0.008064368;0.009210882;0.000514021;0.000508326;0.000596148;0.00087402;0.0008516;0.000920546
321.2821022;0.000939363;0.000840563;0.004575248;0.005650003;0.004963008;0.004897933;0.001380152;0.001376319;0.001586682;0.002041721;0.001934147;0.002181589
321.9032295;0.002004204;0.002041358;0.001901132;0.003979421;0.003783679;0.001735301;0.000884098;0.000906412;0.000943144;0.001155623;0.001060807;0.001202745
322.1571851;0.000441508;0.000456087;0.000426464;0.002695564;0.002224951;0.000414494;0.000633039;0.000665323;0.000631934;0.000764475;0.000683468;0.000781617
322.4246266;0.001197724;0.001462676;0.001214407;0.00189361;0.00207691;0.001274202;0.000368648;0.000411432;0.000304198;0.000352555;0.000286091;0.000338125
322.9233964;0.006023137;0.00826037;0.006257861;0.007494992;0.006787923;0.006105284;7.54E-05;0.000105687;0;0;0;0
323.1527016;0.00407741;0.00345104;0.005738855;0.006719446;0.005566146;0.005383955;4.06E-05;5.73E-05;0;0;0;0
323.9539665;0.001190596;0.001289287;0.001313841;0.003905632;0.003840325;0.001445481;0.000873384;0.001021629;0.000566228;0;0;0.000456386
324.1373595;0.000289418;0.000731946;0.001397549;0.003029103;0.002520378;0.000992836;0.001173665;0.001375247;0.000755182;0;0;0.000590014
324.3828501;0.000390599;0.001853954;0.000394436;0.000654943;0.00157683;0.000353013;0.001575622;0.001848601;0.001008116;0;0;0.000768889
324.9103738;0.01314111;0.012032323;0.01082575;0.01020707;0.010053747;0.011447714;0.002225178;0.002618344;0.001499372;0.000419615;0.000442725;0.001565149
325.2873767;0.00246031;0.00271882;0.005094485;0.003891499;0.005112595;0.00338197;0.001177023;0.001140364;0.001814537;0.001190748;0.001368027;0.002708714
325.6067616;0.001224329;0.001253136;0.001119282;0.001781089;0.001564976;0.001324269;0.000817706;0.000756516;0.001491497;0.000954386;0.001101982;0.002089589
325.9824964;0.003671159;0.003128031;0.002903259;0.004483535;0.004799865;0.002652803;0.000534248;0.000488807;0.000969326;0.000609936;0.000713837;0.001355474
326.2085303;0.000522814;0.000655721;0.00049303;0.002448709;0.002316432;0.00046615;0.000363726;0.000327759;0.0006552;0.000402721;0.000480338;0.000913847
326.4725211;0.000416433;0.000916004;0.00048313;0.00105038;0.001067027;0.000723946;0.000164569;0.000139667;0.000288323;0.000160711;0.000207628;0.000398059
326.9771295;0.01290346;0.010947584;0.013870336;0.010840533;0.008889598;0.013626952;0.00014829;0.000127029;0.000219773;0.00067935;0.000693842;0.000548801
327.2668795;0.004276148;0.003545099;0.004341964;0.004584735;0.004546341;0.004209173;0.00029828;0.000246305;0.00043408;0.001397893;0.001492731;0.001077311
327.9763127;0.005077592;0.004161105;0.004121983;0.006007369;0.005024536;0.004447348;0.000191239;0.000195278;0.000279401;0.000697134;0.000737365;0.000585003
328.1820953;0.001690011;0.001577019;0.001511911;0.004569315;0.003953948;0.001645231;0.000136722;0.000159988;0.000200128;0.000475583;0.000498077;0.000402689
328.4312416;0.000980974;0.001442843;0.001133383;0.001791863;0.002002009;0.001265684;7.07E-05;0.000117262;0.00010415;0.000207345;0.000208364;0.000181956
328.9474459;0.009449951;0.010511605;0.008869425;0.008029016;0.007848494;0.008750413;0;4.65E-05;0;0.000262766;0.000428415;7.95E-05
