"","CJ2_1","CJ2_2","CJ2_3","CS2_1","CS2_2","CS2_3"
"Label","CJ","CJ","CJ","CS","CS","CS"
"173.0739733","-0.34209523"," 1.95848637","-0.03828027","-0.35894294","-0.52682545","-0.69234249"
"174.0905773","-0.1152056"," 1.6192296","-0.1583690","-0.4280013","-0.7149275","-0.2027261"
"175.0374482","-0.06717555"," 1.05501383"," 1.01925392","-1.19774645","-1.32937782"," 0.52003207"
"175.1456845","-2.6528358","-0.5756931","-2.7316953"," 4.5594118"," 4.1475847","-2.7467723"
"176.9827818","-6.068196"," 4.846663","-6.147055"," 2.184763"," 2.222533"," 2.961292"
"177.1404561"," 0.11310566"," 1.88817272","-0.41048469","-0.50744539","-1.06634591","-0.01700239"
"178.1659588","-2.3858645","-0.3087218"," 4.2663097"," 3.8772558","-2.9691781","-2.4798010"
"179.0011147"," 0.3650121","-4.3426803"," 1.4697897"," 0.5657098"," 0.5426303"," 1.3995383"
"180.9803887"," 0.06119461"," 1.78681107","-0.45990164","-0.60846242","-0.41697086","-0.36267075"
"183.0273136","-0.1645486"," 1.7729470","-0.4925418","-0.3183908","-0.3026424","-0.4948233"
"184.058435","-0.08819578"," 1.57345309","-0.22440237","-0.26243890","-0.51691544","-0.48150060"
"185.049156","-0.07012993"," 1.68869491","-0.05001303","-0.78527920","-0.79675866"," 0.01348591"
"185.1178068","-2.9339188","-0.8567761","-3.0127783"," 4.9066392"," 4.9246893","-3.0278553"
"187.0447133","-0.1014053"," 1.7099891","-0.4457069","-0.2271644","-0.3607824","-0.5749301"
"188.0778679","-0.51104958"," 1.95044450","-0.24294788","-0.44284284","-0.70062258","-0.05298162"
"189.0662794"," 1.1350475"," 2.5367495","-6.5040713"," 0.7693555"," 0.5694503"," 1.4934685"
"189.1476136","-4.020048","-1.942905"," 3.824156"," 3.368931"," 2.883849","-4.113984"
"190.9791124"," 0.1009246"," 1.9181474","-0.4629193","-0.7076879","-0.5349671","-0.3134977"
"191.1387678","-4.812667","-2.735525"," 2.144646"," 1.741513"," 1.430561"," 2.231471"
"192.9899795"," 1.0759432","-3.9655822"," 0.7127833"," 0.8734078"," 0.7516136"," 0.5518344"
"193.1599877","-0.3028258"," 1.6345515","-0.2615443","-0.2468232","-0.6327501","-0.1906081"
"194.9820283"," 0.3224908"," 1.8761618","-0.8731553","-0.3920773","-0.3841203","-0.5492998"
"195.1067267","-2.526529","-0.449386","-2.605388"," 4.214914"," 3.986854","-2.620465"
"197.0025532"," 0.1444541"," 1.8884391","-0.2722633","-0.6525343","-0.6185666","-0.4895290"
"197.0870012","-2.5520999","-0.4749572","-2.6309593"," 4.2015333"," 4.1025196","-2.6460364"
"199.007228"," 0.08401684"," 1.36831592","-0.23170177","-0.55980230","-0.41971282","-0.24111588"
"201.0595024"," 0.03264108"," 1.63184179","-0.48230533","-0.36775050","-0.43879720","-0.37562984"
"202.0701732"," 0.4989932"," 1.4332767","-0.6641215","-0.2407535","-0.5213638","-0.5060311"
"203.0821838"," 0.7445227","-3.8513398"," 0.8362839"," 0.7701879"," 0.5823705"," 0.9179747"
"204.9539013","-0.4588303"," 2.0465549"," 0.2165694","-0.6313979","-0.5206987","-0.6521974"
"207.0410208","-6.466903","-4.389760"," 4.177686"," 1.679836"," 1.402956"," 3.596185"
"207.150977"," 2.852480"," 4.603136","-6.151410"," 2.783140"," 2.079142","-6.166487"
"208.1125661"," 2.000724","-2.653417"," 2.285869"," 1.581457","-5.313874"," 2.099241"
"208.9881339","-0.05800024"," 1.74916963","-0.44355527","-0.43471024","-0.43247828","-0.38042559"
"209.1407392","-2.4425235","-0.3653808","-2.5213829"," 4.0179092"," 3.8478380","-2.5364600"
"211.005059","-0.08852274"," 1.59145241","-0.26465898","-0.60264704","-0.62285386","-0.01276980"
"211.1020137","-2.4749633","-0.3978206","-2.5538228"," 4.0275668"," 3.9679398","-2.5688998"
"212.9950999"," 0.1842175"," 1.6691384","-0.5861880","-0.2327187","-0.3396626","-0.6947866"
"213.1195498","-3.879516","-1.802373","-3.958375"," 3.000595"," 3.055386"," 3.584283"
"215.0702752"," 0.1704910"," 1.7585840","-0.2365448","-0.6517301","-0.7428064","-0.2979937"
"216.0502952","-1.26225032"," 1.40248691","-0.53227891"," 0.19140353"," 0.02972062"," 0.17091816"
"216.950738","-2.7116871","-0.6345444","-2.7905465"," 4.4318550"," 4.5105465","-2.8056235"
"217.1286499","-0.08574573"," 1.77579114"," 0.07810114","-0.60373306","-0.72515349","-0.43926001"
"218.1411491"," 1.2666205","-3.9430940"," 0.8815665"," 0.5286479"," 0.3843888"," 0.8818702"
"218.9918466","-5.550869"," 4.642387"," 2.255555"," 2.085529"," 2.212203","-5.644806"
"219.0748572"," 4.873654","-2.143598","-4.299601"," 3.048944"," 2.835278","-4.314678"
"219.1779568","-6.9006883"," 2.8977204"," 1.3451792"," 0.7866510"," 0.4448155"," 1.4263221"
"221.0877493"," 0.8245231","-4.4839927"," 0.9133933"," 1.1360200"," 0.7196804"," 0.8903758"
"222.9918399"," 0.02921940"," 1.57180670","-0.07170465","-0.52779293","-0.40701831","-0.59451020"
"225.0218976","-0.23871134"," 1.59761067","-0.08132437","-0.55823912","-0.63501248","-0.08432336"
"226.1624302","-2.4718620","-0.3947193","-2.5507214"," 4.0865479"," 3.8965532","-2.5657985"
"226.9639884"," 0.4311338"," 1.9565488","-0.4405659","-0.5726313","-0.5608069","-0.8136786"
"227.1355716"," 1.0684019","-4.3764641"," 1.0024808"," 0.5926491"," 0.6724639"," 1.0404683"
"229.1440973","-0.06817305"," 1.95445061","-0.13568879","-1.01966766","-0.79230711"," 0.06138600"
"230.0818526"," 0.9588412","-4.1808447"," 0.5217257"," 1.1043028"," 0.9373513"," 0.6586238"
"230.9612878"," 0.3650165"," 1.2064835","-0.3938066","-0.4533690","-0.2635463","-0.4607782"
"231.0921372","-2.4649641","-0.3878214","-2.5438235"," 4.0475748"," 3.9079347","-2.5589006"
"233.088214"," 1.3288806","-4.1756710"," 0.4631329"," 1.0029850"," 0.7764097"," 0.6042629"
"234.956485","-2.5296370","-0.4524943","-2.6084964"," 4.0688223"," 4.1453788","-2.6235735"
"235.2076549","-0.53483429"," 1.48426136"," 0.13361381","-0.28118256","-0.77170540","-0.03015292"
"236.2103146"," 0.8387884","-4.2045841"," 1.4727477"," 0.8668929"," 0.3861740"," 0.6399811"
"236.9917789","-0.12914818"," 1.53500579","-0.79060212","-0.36203158","-0.17307662","-0.08014728"
"238.0354643"," 4.3478962","-0.3345335","-2.4905356"," 3.9777753","-2.9949898","-2.5056126"
"239.0926704","-0.6764494"," 1.7788949","-0.0827621","-0.8128490","-0.5472110"," 0.3403767"
"240.1271249","-3.657463","-1.580320"," 3.501330","-4.378097"," 2.848170"," 3.266380"
"240.9619966","-2.7575612","-0.6804185","-2.8364206"," 4.4096003"," 4.7162976","-2.8514977"
