"","FC","log2(FC)","raw.pval","-log10(p)"
"202.0701732",2.1115,1.0783,0.24023,0.61937
"452.8823591",0.033636,-4.8938,0.24332,0.61382
"690.1718449",2.1695,1.1174,0.24596,0.60914
"180.9803887",2.392,1.2582,0.24692,0.60744
"541.1305284",2.5721,1.363,0.24734,0.60671
"1095.206713",4.4865,2.1656,0.24796,0.60563
"742.2057178",3.1946,1.6756,0.248,0.60555
"176.9827818",1.6941,0.7605,0.25068,0.60088
"817.2216659",3.5537,1.8293,0.25085,0.60059
"803.5583253",1.5835,0.66313,0.2518,0.59894
"207.0410208",1.0119,0.017108,0.25214,0.59836
"537.1767081",2.2714,1.1836,0.2524,0.5979
"763.1916357",1.6988,0.76455,0.25347,0.59608
"145.0376918",2.0712,1.0505,0.25663,0.59069
"211.005059",2.0818,1.0579,0.25671,0.59056
"743.2049333",1.724,0.78575,0.25697,0.59011
"815.2291176",2.2081,1.1428,0.25737,0.58944
"253.1560115",2.1623,1.1126,0.2595,0.58586
"676.2347051",2.1388,1.0968,0.2603,0.58452
"138.9853475",3.1298,1.6461,0.26185,0.58195
"341.0145727",2.5182,1.3324,0.26214,0.58147
"117.0137418",2.4602,1.2988,0.26385,0.57865
"668.1927225",2.2392,1.163,0.26511,0.57658
"816.2270185",2.9654,1.5682,0.26574,0.57554
"73.03690214",2.3991,1.2625,0.2662,0.5748
"441.3048968",1.9854,0.98945,0.26773,0.5723
"123.103664",1.3895,0.47452,0.26777,0.57224
"593.1666768",2.4237,1.2772,0.26875,0.57064
"611.1967676",1.7743,0.82722,0.27038,0.56803
"309.1850429",2.0935,1.0659,0.27049,0.56785
"617.1478409",2.331,1.2209,0.27315,0.5636
"335.1288788",2.4235,1.2771,0.27348,0.56308
"594.1881605",2.4026,1.2646,0.27572,0.55952
"503.117517",2.4704,1.3047,0.27674,0.55792
"556.2853951",1.818,0.86237,0.27857,0.55507
"165.0101241",2.0113,1.0081,0.27928,0.55396
"212.9950999",2.2056,1.1412,0.27981,0.55314
"579.1843546",2.1534,1.1066,0.28159,0.55038
"131.0229838",2.3443,1.2292,0.28274,0.54861
"201.0595024",2.1186,1.0831,0.2836,0.5473
"832.2545171",2.8497,1.5108,0.28529,0.54472
"208.9881339",2.2488,1.1691,0.28603,0.54359
"129.0447252",1.6749,0.74407,0.28844,0.53994
"615.1514853",2.244,1.1661,0.29153,0.53532
"933.178817",1.4468,0.53283,0.29244,0.53396
"356.0768737",1.8731,0.90544,0.29568,0.52918
"415.0448025",2.1236,1.0865,0.29609,0.52858
"1097.205313",5.0216,2.3282,0.30102,0.52141
"470.2506552",2.168,1.1163,0.30209,0.51986
"107.0377168",2.2759,1.1864,0.30266,0.51904
"75.00328232",2.4,1.263,0.30426,0.51675
"152.9887746",2.3223,1.2156,0.30488,0.51587
"65.0439009",0.25595,-1.9661,0.3051,0.51556
"254.9408356",2.4275,1.2795,0.30561,0.51484
"505.1126155",2.2023,1.139,0.30971,0.50904
"71.07430393",2.462,1.2998,0.31002,0.50861
"93.01809438",2.1633,1.1132,0.31124,0.50691
"187.0447133",2.1429,1.0995,0.31554,0.50095
"394.1029943",0.57381,-0.80135,0.31707,0.49885
"235.2076549",1.9201,0.94115,0.31735,0.49846
"157.0360083",2.2518,1.1711,0.31961,0.49538
"77.02066903",2.0849,1.06,0.3203,0.49445
"372.1069014",1.5519,0.63399,0.32117,0.49327
"243.2065533",1.9265,0.94596,0.32258,0.49136
"889.2471687",1.7937,0.84297,0.32698,0.48548
"338.9521364",2.2613,1.1772,0.32913,0.48263
"194.9820283",2.4721,1.3057,0.3301,0.48136
"891.2470443",2.6114,1.3848,0.33554,0.47425
"482.5081681",0.59068,-0.75956,0.33624,0.47335
"686.2789701",1.9162,0.93822,0.33645,0.47308
"193.1599877",2.0093,1.0067,0.33659,0.47289
"230.0818526",0.60858,-0.71648,0.33667,0.4728
"271.164224",2.5338,1.3413,0.33763,0.47156
"741.2067711",2.6038,1.3806,0.33818,0.47086
"663.4633594",1.4504,0.53646,0.33905,0.46973
"467.1086555",1.9916,0.9939,0.3403,0.46813
"282.9791297",2.1743,1.1206,0.34043,0.46798
"689.1721518",2.193,1.1329,0.35105,0.45463
"169.0205232",2.1914,1.1318,0.35259,0.45273
"183.0273136",2.1618,1.1122,0.35361,0.45147
"264.9952626",2.09,1.0635,0.35908,0.44481
"221.0877493",0.64917,-0.62333,0.36391,0.43901
"121.0227584",1.9881,0.99142,0.36553,0.43707
"250.9700357",2.3621,1.2401,0.36622,0.43625
"149.0223413",2.2532,1.172,0.36778,0.43441
"275.1542907",0.66671,-0.58486,0.36823,0.43388
"188.0778679",2.3377,1.2251,0.37628,0.42449
"543.1265137",2.0953,1.0671,0.38036,0.4198
"432.9044284",0.68617,-0.54337,0.38072,0.41939
"393.1158504",1.8705,0.9034,0.38395,0.41573
"203.0821838",0.69324,-0.52858,0.38422,0.41542
"100.0777206",2.6993,1.4326,0.38523,0.41428
"577.136755",0.71419,-0.48561,0.39298,0.40562
"429.0956653",2.417,1.2732,0.39681,0.40142
"267.0077869",0.70517,-0.50396,0.39723,0.40096
"759.2364223",1.9546,0.96685,0.39997,0.39797
"324.9516006",2.2644,1.1791,0.40208,0.39569
"262.9957852",0.72804,-0.45792,0.4023,0.39545
"233.088214",0.75344,-0.40843,0.40604,0.39143
"179.0011147",0.73669,-0.44087,0.40656,0.39087
"304.1050293",0.73849,-0.43735,0.40756,0.3898
"414.2774879",2.1887,1.1301,0.40779,0.38956
"147.0412503",1.4897,0.57503,0.4133,0.38374
"504.1175996",2.0831,1.0587,0.41428,0.38271
"328.9532414",0.75091,-0.41329,0.41432,0.38266
"163.0432491",2.1633,1.1133,0.41576,0.38116
"1090.268977",1.9607,0.97134,0.42089,0.37583
"192.9899795",0.76503,-0.38642,0.42258,0.3741
"383.3315456",0.74229,-0.42994,0.42998,0.36655
"760.2338226",1.9501,0.96352,0.43392,0.36259
"1091.271977",1.6386,0.71244,0.44221,0.35437
"227.1355716",0.80421,-0.31435,0.44345,0.35316
"277.1319314",0.81578,-0.29374,0.44379,0.35282
"1098.198977",1.5885,0.66767,0.4504,0.34641
"239.0926704",1.985,0.98914,0.45252,0.34436
"164.0460086",0.81099,-0.30225,0.4529,0.344
"58.03294671",2.1041,1.0732,0.4584,0.33875
"355.0764234",1.7397,0.7988,0.466,0.33162
"268.9632804",1.7132,0.77666,0.46845,0.32934
"430.0972958",2.1899,1.1309,0.47126,0.32674
"445.1273689",2.1667,1.1155,0.47342,0.32476
"542.1299461",1.9068,0.93116,0.47459,0.32368
"276.1484915",0.89597,-0.15848,0.48803,0.31156
"1187.303477",1.3927,0.47785,0.49244,0.30764
"507.2630755",0.89861,-0.15423,0.49602,0.3045
"831.5898778",1.405,0.49061,0.49753,0.30318
"155.0652829",2.134,1.0936,0.49832,0.30249
"143.0247796",0.91512,-0.12797,0.50842,0.29378
"63.0040257",1.4417,0.52773,0.5116,0.29107
"934.1713454",1.3385,0.42064,0.5117,0.29099
"521.1463811",2.0542,1.0386,0.51309,0.28981
"113.0519645",0.85985,-0.21783,0.51415,0.28891
"908.2728381",1.1888,0.24951,0.51613,0.28724
"218.1411491",0.9396,-0.089885,0.51625,0.28714
"256.240021",0.95714,-0.063204,0.52141,0.28282
"236.2103146",0.98493,-0.021913,0.52219,0.28217
"290.9445913",1.0652,0.091086,0.52273,0.28173
"395.1275136",1.7902,0.84013,0.52463,0.28015
"907.2782575",1.1717,0.22863,0.52865,0.27683
"286.9623971",1.8665,0.90035,0.53065,0.27519
"189.0662794",1.3341,0.41586,0.54025,0.26741
"310.9416002",2.3464,1.2304,0.54134,0.26653
"448.1263936",1.7697,0.82351,0.54203,0.26598
"171.1024969",1.574,0.65446,0.54488,0.2637
"539.174113",1.0107,0.015359,0.55201,0.25805
"834.2531291",1.1753,0.23307,0.55398,0.2565
"116.0592061",0.94168,-0.086692,0.55471,0.25593
"296.9936036",1.762,0.81724,0.55671,0.25437
"289.0484228",1.726,0.78743,0.55718,0.254
"963.2701932",1.0958,0.13203,0.56323,0.24932
"281.05712",2.221,1.1512,0.56505,0.24791
"906.276502",1.0875,0.12098,0.57509,0.24026
"236.9917789",1.6815,0.74975,0.58772,0.23083
"219.1779568",1.7322,0.79261,0.59293,0.227
"462.1447025",2.0684,1.0485,0.59401,0.2262
"935.171061",1.0275,0.039182,0.59831,0.22307
"258.9665628",0.45065,-1.1499,0.61372,0.21203
"667.1871875",1.4703,0.55609,0.614,0.21183
"358.0744269",0.44885,-1.1557,0.61783,0.20913
"373.1174842",1.8204,0.86428,0.6197,0.20782
"127.0642825",1.8116,0.85725,0.62388,0.2049
"371.1173189",1.535,0.61825,0.62737,0.20248
"304.9720775",0.52143,-0.93946,0.63579,0.19669
"687.2109472",1.2092,0.27406,0.64351,0.19145
"350.9526866",0.56198,-0.8314,0.6458,0.1899
"890.2488195",1.6121,0.68894,0.64723,0.18894
"664.4658758",1.3548,0.43803,0.64855,0.18805
"964.2736873",2.4292,1.2805,0.66023,0.1803
"669.185422",1.0462,0.065191,0.66567,0.17674
"469.1082849",0.71317,-0.48767,0.66985,0.17402
"170.0934427",0.62176,-0.68558,0.67038,0.17368
"442.3118294",0.44542,-1.1667,0.6794,0.16788
"249.172003",0.8098,-0.30436,0.68116,0.16675
"189.1476136",0.81517,-0.29482,0.69389,0.15871
"627.2519993",0.99503,-0.0071823,0.69505,0.15798
"616.1509237",1.2307,0.29952,0.69586,0.15748
"581.2460402",1.1046,0.14356,0.70304,0.15302
"561.1137132",1.9023,0.92775,0.70588,0.15127
"1096.219545",1.9961,0.99721,0.71182,0.14763
"142.0462369",0.83563,-0.25907,0.714,0.1463
"333.0791036",0.60734,-0.71942,0.71459,0.14594
"613.1952084",1.1188,0.16195,0.71501,0.14569
"171.002794",1.0793,0.11011,0.71847,0.14359
"382.9720243",1.4186,0.50449,0.71867,0.14347
"114.0781673",1.4086,0.4943,0.72239,0.14123
"208.1125661",1.2376,0.30751,0.72426,0.14011
"595.1879135",1.0954,0.13151,0.72621,0.13894
"146.1149503",1.4596,0.54558,0.7333,0.13472
"178.1659588",1.3493,0.43225,0.74068,0.13037
"240.1271249",0.69573,-0.5234,0.74104,0.13016
"698.2658441",0.91415,-0.1295,0.74278,0.12914
"162.0429563",1.1811,0.24009,0.74871,0.12569
"522.1451476",1.0632,0.088406,0.75123,0.12423
"238.0354643",1.3287,0.41,0.75369,0.12281
"625.249888",0.92741,-0.10872,0.75869,0.11994
"216.0502952",1.1409,0.19022,0.75931,0.11958
"144.0652587",1.2098,0.27474,0.76363,0.11712
"303.0932361",1.2366,0.30634,0.76898,0.11408
"278.9775922",1.1004,0.13798,0.77345,0.11157
"79.01206271",1.4024,0.48789,0.78125,0.10721
"463.1546057",0.99841,-0.0022953,0.78204,0.10677
"624.2480641",0.89951,-0.15279,0.78609,0.10453
"260.1105053",1.1143,0.15608,0.78781,0.10358
"219.0748572",1.9138,0.93647,0.79012,0.1023
"122.9790462",1.348,0.43079,0.8037,0.094905
"295.0231811",1.0551,0.077383,0.80523,0.094081
"331.2134083",1.033,0.046865,0.8058,0.093772
"85.09845854",1.5978,0.67607,0.83311,0.079298
"218.9918466",3.3458,1.7423,0.8345,0.078576
"207.150977",2.8356,1.5037,0.85297,0.069068
"306.9375403",2.6192,1.3891,0.86431,0.063333
"357.0533236",1.7225,0.78449,0.88262,0.054227
